title,type,question,A,B,C,D,E,answer,image
Resistance to corrosive of alloy vs pure metal / Ketahanan kakisan aloi vs logam tulen,radio,Manipulated Variable / Pemboleh ubah dimanipulasikan 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,A,experiment_6.png
,radio,Responding Variable / Pemboleh ubah bergerak balas 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,B,experiment_6.png
,checkbox,Constant Variable / Pemboleh ubah dimalarkan 是,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,"C,D",experiment_6.png
,radio,Factor that changed / Faktor yang diubah,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,A,experiment_6.png
,radio,Factor that observed / Faktor yang diperhatikan,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,B,experiment_6.png
,checkbox,Factor that fixed / Faktor yang ditetapkan,Type of nails / Jenis paku,Condition of nail / Keadaan paku,Mass of nails / Jisim paku,Volume of water / Isi padu air,,"C,D",experiment_6.png
,radio,Ways to control Manipulated Variable / Cara mengawal Pemboleh ubah dimanipulasikan 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,,,A,experiment_6.png
,radio,Ways to control Responding Variable / Cara mengawal Pemboleh ubah bergerak balas 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,,,B,experiment_6.png
,radio,Ways to control Constant Variable / Cara mengawal Pemboleh ubah dimalarkan 是,Use the different type of nails / Gunakan jenis paku yang berbeza,Observe the condition of nail / Memerhatikan keadaan paku,Use the same mass of nails / Gunakan jisim paku yang sama,,,C,experiment_6.png
,radio,Aim / Tujuan 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,A,experiment_6.png
,checkbox,Problem statement / Pernyataan masalah 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,"B,C",experiment_6.png
,radio,Hypothesis / Hipotesis 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,,D,experiment_6.png
,radio,Prediction of observation / Jangkaan pemerhatian 怎么写?,To study the effect of type of blocks on the diameter of dent / Untuk mengkaji kesan jenis bongkah terhadap diameter lekuk,Does the type of blocks affect the diameter of dent? / Adakah jenis bongkah mempengaruhi diameter lekuk?,Is alloy harder than pure metal? / Ada aloi lebih kuat daripada logam tulen?,Alloy is harder than pure metal / Aloi lebih kuat daripada logam tulen,Diameter of dent for bronze is smaller than copper / Diameter lekuk untuk gangsa lebih kecil daripada kuprum,E,experiment_6.png
,radio,Apparatus / Radas 要用什么？,Stopwatch / Jam randik,Metre ruler / Pembaris meter,Thermometer / Termometer,Textbooks / Buku Teks,Test tube / Tabung uji,E,experiment_6.png
